naca,re,aoa,cl,cd,cm
0006,2000000.0,-8.5,-0.8092877864837646,0.0516563840210437,-0.0076409941539168
0006,2000000.0,-8.0,-0.8343984484672546,0.0238894503563642,-0.0068426071666181
0006,2000000.0,-7.5,-0.7931050658226013,0.0198248401284217,-0.0056161084212362
0006,2000000.0,-6.5,-0.7054705023765564,0.0118331089615821,-0.0024807779118418
0006,2000000.0,-6.0,-0.6570221185684204,0.0096352975815534,-0.0012725437991321
0006,2000000.0,-5.5,-0.6042311787605286,0.0089620538055896,-0.0007959635113365
0006,2000000.0,-5.0,-0.5510010123252869,0.008490820415318,-0.0003686398267745
0006,2000000.0,-4.5,-0.4994092881679535,0.0074447463266551,0.0005235032294876
0006,2000000.0,-4.0,-0.4466928243637085,0.0070657087489962,0.0011177776614204
0006,2000000.0,-3.5,-0.3948210179805755,0.0065784519538283,0.0019768399652093
0006,2000000.0,-3.0,-0.3432263731956482,0.0061923745088279,0.00284457905218
0006,2000000.0,-2.5,-0.2881071269512176,0.0056891040876507,0.0027666243258863
0006,2000000.0,-2.0,-0.2210886776447296,0.0049273613840341,-0.0002330527640879
0006,2000000.0,-1.5,-0.1563378721475601,0.0042257024906575,-0.00266436021775
0006,2000000.0,-1.0,-0.0993865728378295,0.0036642763298004,-0.0030413430649787
0006,2000000.0,-0.5,-0.0500414445996284,0.003336128545925,-0.0014408761635422
0006,2000000.0,0.0,1.0481751022695107e-09,0.0032315873540937,-2.340181382010087e-10
0006,2000000.0,0.5,0.0500417314469814,0.0033361236564815,0.001440808060579
0006,2000000.0,1.0,0.0993871986865997,0.0036642649210989,0.003041194519028
0006,2000000.0,1.5,0.1563386619091034,0.0042256717570126,0.0026641730219125
0006,2000000.0,2.0,0.2210923731327057,0.0049273134209215,0.0002321423089597
0006,2000000.0,2.5,0.2881110906600952,0.0056890440173447,-0.0027676271274685
0006,2000000.0,3.0,0.3431993126869201,0.0061921589076519,-0.0028384821489453
0006,2000000.0,3.5,0.3947949111461639,0.0065783131867647,-0.0019709253683686
0006,2000000.0,4.0,0.4466716349124908,0.0070656137540936,-0.0011129371123388
0006,2000000.0,4.5,0.4993948936462402,0.0074446103535592,-0.0005202122265473
0006,2000000.0,5.0,0.550994336605072,0.008490745909512,0.000370166671928
0006,2000000.0,5.5,0.6042304039001465,0.0089619811624288,0.0007961444789543
0006,2000000.0,6.0,0.6570273637771606,0.0096352808177471,0.001271350774914
0006,2000000.0,6.5,0.7054843902587891,0.0118336323648691,0.0024775753263384
0006,2000000.0,7.0,0.7477146983146667,0.0167040098458528,0.004487058147788
0006,2000000.0,7.5,0.7931473255157471,0.0198258105665445,0.0056065926328301
0006,2000000.0,8.0,0.8344554901123047,0.0238921344280242,0.0068293241783976
0006,2000000.0,8.5,0.8093602657318115,0.0517030321061611,0.0075929150916635
